"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"COS-5","Cosmokaat","01 · First slice: send a message and stream the reply","Build the first working flow end to end: type a message, get a streamed reply on screen. The `@services` layer already exists — you only write React here.

> **Scope carved out (2026-06-28):** HTTP / stream **error handling** now lives in [COS-15](https://linear.app/cosmokaat/issue/COS-15/11-chatdisplay-ui-states-loading-empty-no-selection-error) (error UI state) + [COS-10](https://linear.app/cosmokaat/issue/COS-10/06-usechat-hook-send-stream-accumulate-done-abort-lifecycle) (hook `error` state). The **per-conversation route** (`(content)/[conversationId]`) now lives in [COS-8](https://linear.app/cosmokaat/issue/COS-8/04-conversation-route-segment-id-wiring). This ticket is the happy-path send → stream → render slice only.

**What to build**

1. `useChat` **hook** — owns the *shared* chat state:
   * `messages`, `isStreaming`, `activeConversationId`
   * a `send(content)` function and a `stop()` function
   * keeps an `AbortController` so `stop()` can cancel the stream
   * (the textarea draft does NOT live here — see Prompt below)
2. `send(content)` **flow:**
   * no active conversation? → `conversationService.create()` first, use the returned `id`
   * add the user bubble immediately with a temporary id (optimistic)
   * call `chatService.streamMessage({ conversationId, content }, { signal })` and loop over the events:
     * `open` → replace the temp id with the real `userMessageId`, add an empty assistant bubble using `assistantMessageId`
     * `delta` → append `delta` to the assistant bubble's content
     * `done` → mark the assistant bubble complete, `isStreaming = false`
3. **Wire the components** (presentational — they just receive props):
   * `Prompt` — owns its **own local** `useState` for the textarea draft (NOT in `useChat` — it's just the input text, nobody else needs it). Submit calls `send(draft)` then clears it. Play icon ▶ → stop icon ■ while streaming (calls `stop()`).
   * `ChatDisplay` / `MessageList` / `Message` — render `messages`
4. `'use client'` **boundary:** on `/`, `ChatDisplay` and `Prompt` are siblings, so put one client owner around both (a small client provider, or lift `useChat` into a shared client parent) — they must read the same state.

**Approach (already decided — for reference)**

* One owner of the shared state: `useChat`. Components stay dumb. The textarea draft stays local to `Prompt`.
* Real message ids come from the backend in the `open` frame, so the front is in sync from the first token. No refetch.

**Done when**

- [X] Typing a message and hitting send streams a reply token-by-token on screen.
- [X] The stop button cancels an in-progress stream.

*Error handling →* [COS-15](https://linear.app/cosmokaat/issue/COS-15/11-chatdisplay-ui-states-loading-empty-no-selection-error) */* [COS-10](https://linear.app/cosmokaat/issue/COS-10/06-usechat-hook-send-stream-accumulate-done-abort-lifecycle)*. Per-conversation route (incl. refresh on* `/[conversationId]`*) →* [COS-8](https://linear.app/cosmokaat/issue/COS-8/04-conversation-route-segment-id-wiring)*.*

**Files:** `components/Prompt.tsx`, `components/ChatDisplay.tsx`, `components/MessageList.tsx`, `components/Message.tsx`, `app/(content)/page.tsx`, plus the `useChat` owner / client boundary.","Done",,"Urgent","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:05.809Z","2026-06-28T16:09:57.707Z","2026-06-23T14:41:43.924Z",,"2026-06-28T16:09:57.635Z",,,,,"",,,,"1275ba17-81e1-4beb-8fd3-ff8004cfebc2",58841,"COS-15",,
"COS-6","Cosmokaat","02 · Chat i18n strings & theme tokens","**RADIO:** Requirements (UI vocabulary)

Add the strings and colors the chat UI needs before any component renders, per convention: all UI text in `front/i18n/en.ts` (`@i18n`), all colors as semantic tokens in `front/app/colors.css`. No hardcoded strings/hex in components.

**Do**

* `front/i18n/en.ts` `chat` namespace (today only `composerPlaceholder`, `send`, `conversations`) — add: role labels (`you`, `assistant`), status copy (`thinking`, `failed`, `retry`), empty state (`emptyTitle`, `emptyHint`), `noConversationSelected`, `loading`, error copy (network failure, `conversationNotFound`), `newChat`, `stop`. Keep `as const` OFF (per the file's note).
* `front/app/colors.css` `@theme` — add tokens for user vs assistant bubble background and an error tint, reusing the existing `canvas/surface/elevated/accent` family.

**Acceptance**

- [ ] New chat keys present in `en.ts`.
- [ ] User/assistant bubble + error-tint tokens defined in the `@theme` block.
- [ ] No literal strings or hex introduced in any component by this ticket.
- [ ] `pnpm check` in `front/` passes.

**Files**

* `front/i18n/en.ts`, `front/app/colors.css`","Backlog",,"High","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:11.686Z","2026-08-02T21:21:53.265Z",,,,,,,,"",,,,"85ddcb64-b451-4eb5-9333-be50204fb869",67636,"COS-405","COS-5",
"COS-7","Cosmokaat","03 · UI view-model types (ChatState + optimistic temp-id)","**RADIO:** Data

The wire DTOs are complete (`front/services/conversation.types.ts` → `Message`/`ConversationDetail`; `front/services/chat.types.ts` → `SendMessageInput` + `ChatStreamEvent` — the `open` event gains the two ids in [COS-18](https://linear.app/cosmokaat/issue/COS-18/sse-contract-carry-message-ids-in-the-open-frame-backend-front-service)). Add only the **client-only** types the hook needs, co-located with the hook (e.g. `front/components/chat/chat-ui.types.ts`).

**Do**

* `ChatState`: `messages`, `isStreaming`, `error: ApiError | null`, `activeConversationId`.
* A **temporary client id** for the optimistic user bubble — it lives only between submit and the `open` frame (Option C, see ticket 01), then is replaced by the real DB id. A simple unique temp id (e.g. `crypto.randomUUID()`, prefixed so it's recognisable) is enough — no long-lived temp-vs-server reconciliation.
* Import + extend the wire DTOs via `@`-aliases; do NOT duplicate or modify them.

**Acceptance**

- [ ] `ChatState` references the existing `Message` + `ApiError` via `@`-aliases.
- [ ] A temp-id helper exists for the optimistic bubble (replaced on `open`).
- [ ] No `services/*.types.ts` DTO modified or duplicated.
- [ ] `pnpm check` in `front/` passes.

**Files:** `front/components/chat/chat-ui.types.ts`","Backlog",,"High","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:17.831Z","2026-06-22T14:14:54.515Z",,,,,,,,"",,,,"d286e74d-595f-4465-a695-67d262a45c5e",67636,,"COS-5",
"COS-8","Cosmokaat","04 · Conversation route segment + id wiring","**RADIO:** Interface

Implement the routing decided in ticket 01 so a conversation id reaches the client chat boundary.

**Do**

* Add `front/app/(content)/[conversationId]/page.tsx`, mirroring the auth guard in `(content)/page.tsx` (`getServerUser()` from `@lib/session` → `redirect('/login')`).
* Make `activeConversationId` observable in the client chat boundary (route param read into the ticket-01 boundary).
* Bare `/` → no-conversation-selected placeholder (NOT a 404).
* No data fetching / message rendering yet beyond passing the id down — `ChatDisplay` can keep its current body.

**Acceptance**

- [ ] Active conversation id observable in the client boundary.
- [ ] Auth redirect guard preserved on the new segment.
- [ ] A conversation URL resolves without 404; bare `/` resolves to no-selection.
- [ ] No conversation data fetched/rendered yet.

**Files**

* `front/app/(content)/[conversationId]/page.tsx`, `front/app/(content)/page.tsx`","Backlog",,"High","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:23.285Z","2026-06-22T13:46:31.430Z",,,,,,,,"",,,,"c5cba515-7108-482a-aa86-42646f60fabd",67636,,"COS-5",
"COS-9","Cosmokaat","05 · Message bubble + MessageList rendering","**RADIO:** Interface

Turn the two presentational stubs into real components (both pure, testable in isolation, no fetching/state).

**Do —** `front/components/Message.tsx` (today returns `null`)

* Accept a `Message` DTO prop (`id, role, content, status, createdAt`).
* Role-aware layout (user right-aligned, assistant left) using the bubble tokens from ticket 02.
* Handle the `system` role per the ticket-01 decision (notice / hidden / as-assistant).
* Status affordances: `pending`/`streaming` indicator (`thinking`) and `error` styling (error tint + `failed`/`retry` copy). All text via `@i18n`.

**Do —** `front/components/MessageList.tsx` (today empty `space-y-4` + TODO)

* Accept `messages: Message[]`, render `messages.map((m) => <Message key={m.id} message={m} />)`. Keep `space-y-4`. No empty/loading/error UI here (that's ticket 11).

**Acceptance**

- [ ] `Message` renders user + assistant with correct alignment; `system` handled (no undefined fall-through).
- [ ] `pending`/`streaming` and `error` statuses each render a distinct visual using ticket-02 tokens + strings.
- [ ] `MessageList` renders each message via `<Message>` with `key={m.id}`; `space-y-4` preserved.
- [ ] No hardcoded colors/strings; `pnpm check` in `front/` passes.

**Files**

* `front/components/Message.tsx`, `front/components/MessageList.tsx`","Backlog",,"Medium","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:30.807Z","2026-06-22T13:46:35.531Z",,,,,,,,"",,,,"2255a38a-5b82-464f-b7f1-6598941a81d9",67636,,"COS-6",
"COS-10","Cosmokaat","06 · useChat hook — send → stream → accumulate → done + abort lifecycle","**RADIO:** Interface — the core new client code. The big one.

Implement the client orchestrator decided in ticket 01 (e.g. `front/components/chat/useChat.ts`) owning `messages`, `isStreaming`, `error`, and the active conversation id (fed in from ticket 04 — the hook does not derive routing).

**Stream flow** (events confirmed in ticket 01; ids delivered by [COS-18](https://linear.app/cosmokaat/issue/COS-18/sse-contract-carry-message-ids-in-the-open-frame-backend-front-service))

* On send: `chatService.streamMessage({ conversationId, content }, { signal })`.
* `open` → read `userMessageId` + `assistantMessageId`: **stamp the real id onto the optimistic user message, and create the assistant message with its real id** (status `streaming`). From here the front holds real ids.
* `delta` → append to the assistant message's `content`.
* `done` → mark the assistant `complete`. **No refetch (Option C).**
* `error` → set the chat `error` and mark the message `error`.
* Catch the pre-stream `ApiError` into `error`. Block a second send while `isStreaming`.

**Controller lifecycle** (owned here, not in Prompt)

* One `AbortController` per send; expose `stop()` → `controller.abort()`.
* On abort, finalize the in-flight assistant message (never left stuck on `streaming`); re-enable after error; fresh controller per send so a message can stream after a stop.
* On `activeConversationId` change / unmount: abort the in-flight stream and stop applying deltas to the previous conversation (no cross-conversation bleed; reader lock released via `readSse` `finally`).

(No autoscroll / optimistic / a11y here — those are later tickets.)

**Acceptance**

- [ ] Exposes `messages, isStreaming, error, send, stop` typed with the ticket-03 view-model; active id fed from ticket 04.
- [ ] On `open` the user + assistant messages adopt their real DB ids; `delta`s accumulate into the assistant; on `done` it is marked complete (no refetch).
- [ ] Second send blocked while streaming; pre-stream `ApiError` and terminal `error` both surface via `error`.
- [ ] `stop()` aborts + finalizes the partial message; fresh controller lets a later send stream; conversation-switch/unmount aborts cleanly.
- [ ] `pnpm check` in `front/` passes.

**Blocked by** [COS-18](https://linear.app/cosmokaat/issue/COS-18/sse-contract-carry-message-ids-in-the-open-frame-backend-front-service) (the `open` frame must carry the ids first).

**Files:** `front/components/chat/useChat.ts`","Backlog",,"Medium","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:39.621Z","2026-06-22T14:15:03.392Z",,,,,,,,"",,,,"3f18e028-e815-4b94-a663-c5fba138a3ae",67636,,"COS-7, COS-8, COS-18",
"COS-11","Cosmokaat","07 · Wire ChatDisplay — fetch conversation + feed MessageList","**RADIO:** Interface

Replace the body-only stub at `front/components/ChatDisplay.tsx` (today just wraps `<MessageList />` in `max-w-3xl`) with a client consumer of the ticket-06 hook + the ticket-04 conversation id.

**Do**

* On mount / id change, load the conversation via `conversationService.get(id)` to seed messages, then render `<MessageList messages={...} />`.
* `get(id)` is the source of truth on load (server messages, real ids). Live messages from the hook **already carry real ids** (stamped on `open`, per Option C), so the hook's messages can feed the list directly — no temp-vs-server dedup needed.
* Keep the existing `mx-auto w-full max-w-3xl px-4 py-6` wrapper.
* Happy-path fetch + render only — loading/empty/error states are ticket 11.

**Acceptance**

- [ ] Reads the active id (ticket 04) and loads detail via `conversationService.get`.
- [ ] Renders the hook's messages (which hold real ids); re-fetches when the active id changes.
- [ ] `max-w-3xl` wrapper preserved.

**Files:** `front/components/ChatDisplay.tsx`","Backlog",,"Medium","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:46.458Z","2026-06-22T14:15:07.839Z",,,,,,,,"",,,,"612e4cb3-b8d5-45fd-9db0-7a782ecc6a32",67636,,"COS-9, COS-10",
"COS-12","Cosmokaat","08 · Wire Prompt — controlled textarea, send, stop button","**RADIO:** Interface

Implement behavior in `front/components/Prompt.tsx` (layout already exists: textarea + send button with the play SVG).

**Do**

* Controlled state (`value`, `onChange`); `onSubmit` calls the ticket-06 `send` with the active conversation id, then clears the textarea.
* Enter sends, Shift+Enter inserts a newline.
* While `isStreaming`: disable the textarea and guard duplicate submits.
* Stop button: while `isStreaming` swap the play SVG for a stop icon (`stop` label) calling the hook's `stop()`. After a stop or stream error the composer re-enables and a subsequent send streams (lifecycle lives in ticket 06 — Prompt just delegates, no abort logic duplicated here).
* Keep existing classes + `text.chat.*` strings.

**Acceptance**

- [ ] Submitting calls ticket-06 `send` with the active id, then clears input.
- [ ] Enter sends; Shift+Enter = newline.
- [ ] Composer disabled + second submit prevented while streaming.
- [ ] Stop icon + aria-label shown while streaming, calls `stop()`; no controller logic duplicated in Prompt.
- [ ] `pnpm check` in `front/` passes.

**Files**

* `front/components/Prompt.tsx`","Backlog",,"Medium","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:54.375Z","2026-06-22T13:46:47.737Z",,,,,,,,"",,,,"e2ad843d-a8f2-4ece-b930-996aa092c342",67635,,"COS-10, COS-11",
"COS-13","Cosmokaat","09 · Wire Sidebar — conversation list, new chat, delete","**RADIO:** Interface

Replace the stub at `front/components/shell/sidebar/Sidebar.tsx` (today just the `text.chat.conversations` heading + TODO).

**Do**

* Load conversations with `conversationService.list()`; render each as a link navigating to its conversation via the ticket-04 routing; highlight the active one.
* `new chat` button → `conversationService.create()` then navigate.
* Delete action → `conversationService.remove(id)`, then update the list.
* Use `next/navigation`, the `newChat` i18n key (ticket 02), and `useAuth()` from `@lib/auth-context` if needed. Keep existing `nav`/spacing classes + token styling.
* Navigating away from an actively streaming conversation must trigger the ticket-06 abort.

**Acceptance**

- [ ] Lists conversations with the active one highlighted.
- [ ] New-chat creates + navigates; delete removes + updates the list.
- [ ] All labels via `@i18n`; styling via existing tokens.
- [ ] `pnpm check` in `front/` passes.

**Files**

* `front/components/shell/sidebar/Sidebar.tsx`","Backlog",,"Medium","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:35:58.265Z","2026-06-22T13:46:54.021Z",,,,,,,,"",,,,"d22f0930-f872-4c88-866c-a00522bf37d8",67635,,"COS-8",
"COS-14","Cosmokaat","10 · Optimistic user message on send","**RADIO:** Optimizations

Improve perceived latency: when the user submits in `Prompt` (ticket 08), immediately append their message to the ticket-06 state with a **temporary** id + `pending` status (helper from ticket 03) BEFORE the request resolves.

**Do**

* On `open` (delivered by [COS-18](https://linear.app/cosmokaat/issue/COS-18/sse-contract-carry-message-ids-in-the-open-frame-backend-front-service), handled in ticket 06), the temp id is swapped for the real `userMessageId` — no duplicate, no flicker.
* On the failure path: if the pre-stream POST throws `ApiError` (no frame ever arrives), mark the optimistic message `error` rather than leaving a phantom bubble.

**Acceptance**

- [ ] User message appears instantly on submit with a temp id + `pending` status.
- [ ] On `open` it adopts the real id (no duplicate).
- [ ] On pre-stream failure it is marked `error`, not silently dropped.
- [ ] `pnpm check` in `front/` passes.

**Files:** `front/components/Prompt.tsx`, `front/components/chat/useChat.ts`","Backlog",,"Low","14975f09-9118-4053-b392-e6c761c78963","1991chat — Chat front-end","cosmokaat@protonmail.com","cosmokaat@protonmail.com","Feature",,,,,"2026-06-22T13:36:03.509Z","2026-06-22T14:15:12.243Z",,,,,,,,"",,,,"afed49f9-88fe-4b3d-b5e2-46df89560499",67635,,"COS-10, COS-12",
